ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12013914,JD191103,01/22/2020 12:00:00 PM,008XX W JUNIOR TER,0890,THEFT,FROM BUILDING,APARTMENT,false,true,1915,019,46,3,06,1169959,1928885,2020,03/25/2020 03:45:43 PM,41.960360168,-87.650534646,"(41.960360168, -87.650534646)"
12014538,JD191889,01/02/2020 12:00:00 AM,066XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0723,007,6,68,11,1173184,1860764,2020,03/25/2020 03:45:43 PM,41.773360201,-87.64069877,"(41.773360201, -87.64069877)"
12015249,JD192661,01/22/2020 06:30:00 PM,045XX N CHRISTIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,1724,017,33,14,14,1153235,1929946,2020,03/25/2020 03:45:43 PM,41.963620834,-87.711992043,"(41.963620834, -87.711992043)"
12015175,JD192579,01/03/2020 09:00:00 AM,002XX W LAKE ST,0810,THEFT,OVER $500,OTHER (SPECIFY),false,false,0122,001,42,32,06,1174606,1901725,2020,03/25/2020 03:45:43 PM,41.885729153,-87.634264204,"(41.885729153, -87.634264204)"
12134619,JD331224,01/01/2020 09:00:00 AM,007XX E 90TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0633,006,8,44,26,1182755,1845464,2020,08/16/2020 03:47:58 PM,41.731158507,-87.606088094,"(41.731158507, -87.606088094)"
12016034,JD193556,01/01/2020 12:00:00 AM,018XX N WINNEBAGO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1434,014,32,22,11,1160263,1912391,2020,03/26/2020 03:45:12 PM,41.915306069,-87.686639247,"(41.915306069, -87.686639247)"
11970262,JD138268,01/31/2020 06:00:00 PM,042XX W DIVISION ST,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),true,false,2534,025,37,23,06,1147993,1907665,2020,03/27/2020 03:47:00 PM,41.902582485,-87.731840051,"(41.902582485, -87.731840051)"
11940213,JD102425,01/03/2020 01:39:00 AM,010XX W 78TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,0612,006,17,71,24,1170914,1853103,2020,03/27/2020 03:48:50 PM,41.752387319,-87.649243386,"(41.752387319, -87.649243386)"
12016589,JD193997,01/24/2020 10:00:00 AM,067XX S PARNELL AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0722,007,6,68,06,1173735,1860118,2020,03/27/2020 03:47:00 PM,41.771575307,-87.638698066,"(41.771575307, -87.638698066)"
12016436,JD193883,01/01/2020 07:00:00 AM,007XX W 54TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0935,009,20,61,26,1172333,1868733,2020,03/27/2020 03:47:00 PM,41.795246799,-87.64358399,"(41.795246799, -87.64358399)"
12016706,JD194198,01/20/2020 08:00:00 AM,028XX N SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1412,014,35,21,11,1154221,1918731,2020,03/27/2020 03:47:00 PM,41.932826416,-87.708667345,"(41.932826416, -87.708667345)"
12017743,JD195242,01/11/2020 12:00:00 AM,098XX S ELLIS AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,true,0511,005,8,50,06,1184622,1839938,2020,03/28/2020 03:47:02 PM,41.715951035,-87.599421254,"(41.715951035, -87.599421254)"
12017996,JD195553,01/27/2020 10:00:00 PM,050XX W ADAMS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1533,015,28,25,06,1142706,1898859,2020,03/29/2020 03:43:48 PM,41.878517855,-87.751479667,"(41.878517855, -87.751479667)"
12018457,JD196013,01/16/2020 12:00:00 AM,063XX S CHAMPLAIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0312,003,20,42,11,1181660,1863032,2020,03/29/2020 03:43:48 PM,41.779392287,-87.609558007,"(41.779392287, -87.609558007)"
12013828,JD191019,01/01/2020 12:00:00 AM,044XX S LAVERGNE AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0814,008,22,56,02,1143770,1874726,2020,03/28/2020 03:47:02 PM,41.81227369,-87.748176594,"(41.81227369, -87.748176594)"
12004464,JD180179,01/17/2020 03:00:00 PM,008XX S FINANCIAL PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0123,001,25,32,08A,1175009,1896652,2020,03/31/2020 03:48:51 PM,41.871799513,-87.632936347,"(41.871799513, -87.632936347)"
12019692,JD197444,01/01/2020 12:00:00 AM,032XX N LINCOLN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1922,019,47,6,11,1164983,1921507,2020,04/01/2020 03:50:17 PM,41.940221932,-87.669039008,"(41.940221932, -87.669039008)"
12019230,JD196954,01/21/2020 03:00:00 PM,057XX W ERIE ST,0810,THEFT,OVER $500,RESIDENCE,false,false,1511,015,29,25,06,1137921,1903719,2020,04/01/2020 03:50:17 PM,41.891942001,-87.768932082,"(41.891942001, -87.768932082)"
12019697,JD197464,01/14/2020 11:46:00 AM,079XX S MUSKEGON AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0422,004,7,46,08A,1196549,1852909,2020,04/01/2020 03:50:17 PM,41.751257242,-87.555309999,"(41.751257242, -87.555309999)"
11972362,JD121923,01/20/2020 10:30:00 AM,006XX W OHARE ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,GOVERNMENT BUILDING / PROPERTY,true,false,1654,016,41,76,18,1100088,1926079,2020,08/19/2020 03:49:09 PM,41.953900467,-87.907472601,"(41.953900467, -87.907472601)"
12020963,JD198757,01/24/2020 12:01:00 AM,079XX S EVANS AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,false,false,0624,006,6,44,17,1182603,1852514,2020,04/02/2020 03:49:18 PM,41.750508015,-87.606426766,"(41.750508015, -87.606426766)"
12020813,JD198649,01/30/2020 12:00:00 AM,001XX N HARBOR DR,0810,THEFT,OVER $500,RESIDENCE,false,false,0114,001,42,32,06,1179647,1901952,2020,04/02/2020 03:49:18 PM,41.886237872,-87.615745896,"(41.886237872, -87.615745896)"
12021829,JD199755,01/01/2020 12:01:00 AM,113XX S THROOP ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,2234,022,34,75,05,1169699,1829340,2020,04/04/2020 03:44:34 PM,41.68720452,-87.654382593,"(41.68720452, -87.654382593)"
