@RELATION PhiladelphiaTrainingData

@ATTRIBUTE Year REAL
@ATTRIBUTE Month REAL
@ATTRIBUTE Date REAL
@ATTRIBUTE CrimeCount Numeric

@DATA
2020,01,13,30
2020,01,30,29
2020,01,11,33
2020,01,31,29
2020,01,08,28
2020,01,29,27
2020,01,02,21
2020,01,28,24
2020,01,27,31
2020,01,17,19
2020,01,19,24
2020,01,20,23
2020,01,26,25
2020,01,04,38
2020,01,03,33
2020,01,23,33
2020,01,16,43
2020,01,07,33
2020,01,15,21
2020,01,18,22
2020,01,09,27
2020,01,14,23
2020,01,21,28
2020,01,24,29
2020,01,10,21
2020,01,12,22
2020,01,22,29
2020,01,05,18
2020,01,06,28
2020,01,25,22
2020,01,01,19
2020,02,11,33
2020,02,24,39
2020,02,27,27
2020,02,09,32
2020,02,08,21
2020,02,06,23
2020,02,25,30
2020,02,12,36
2020,02,15,32
2020,02,01,23
2020,02,21,26
2020,02,04,30
2020,02,13,32
2020,02,16,34
2020,02,03,35
2020,02,05,35
2020,02,29,21
2020,02,22,19
2020,02,14,32
2020,02,02,29
2020,02,26,33
2020,02,20,34
2020,02,19,34
2020,02,18,53
2020,02,23,19
2020,02,07,40
2020,02,17,45
2020,02,28,29
2020,02,10,35
2020,03,25,22
2020,03,08,31
2020,03,15,25
2020,03,18,24
2020,03,05,28
2020,03,06,30
2020,03,07,24
2020,03,02,38
2020,03,19,35
2020,03,28,27
2020,03,29,18
2020,03,13,21
2020,03,27,14
2020,03,31,22
2020,03,04,31
2020,03,21,24
2020,03,16,34
2020,03,11,29
2020,03,23,24
2020,03,01,24
2020,03,26,20
2020,03,10,32
2020,03,24,34
2020,03,20,32
2020,03,09,27
2020,03,03,26
2020,03,17,23
2020,03,22,18
2020,03,30,38
2020,03,14,19
2020,03,12,19
2020,04,03,80
2020,04,02,88
2020,04,06,90
2020,04,07,83
2020,04,01,77
2020,04,09,33
2020,04,04,70
2020,04,05,68
2020,04,08,81
2020,04,28,1
2020,05,10,1
2020,05,09,1
2020,05,11,1
2020,05,12,1
2020,05,01,1
2020,05,06,2
2020,05,08,1
2020,06,18,1
2020,07,13,1
2020,08,02,1
2020,08,04,1
2020,09,05,1
2020,09,15,1
2020,09,16,1
2020,09,13,1
2020,09,29,1
