@RELATION SanFranciscoTrainingData

@ATTRIBUTE Date REAL
@ATTRIBUTE Month REAL
@ATTRIBUTE Year REAL
@ATTRIBUTE CrimeCount Numeric

@DATA
30,01,20,2
15,01,20,2
04,01,20,2
05,01,20,1
08,01,20,2
17,01,20,1
31,01,20,2
29,01,20,2
14,01,20,2
01,01,20,2
12,01,20,2
27,02,20,2
26,02,20,4
28,02,20,3
19,02,20,3
14,02,20,5
04,02,20,2
05,02,20,2
29,02,20,3
06,02,20,1
13,02,20,2
15,02,20,1
23,02,20,4
16,02,20,3
18,02,20,2
17,02,20,1
03,02,20,1
07,02,20,1
01,02,20,2
22,02,20,2
19,03,20,1
30,03,20,3
03,03,20,2
11,03,20,2
15,03,20,2
01,03,20,5
23,03,20,2
06,03,20,1
20,03,20,1
28,03,20,1
25,03,20,2
05,03,20,1
02,03,20,2
13,03,20,1
10,03,20,1
09,03,20,1
21,03,20,2
01,04,20,4
19,04,20,1
17,04,20,1
03,04,20,3
23,04,20,1
04,04,20,1
29,04,20,1
21,04,20,1
26,04,20,3
27,04,20,2
13,05,20,5
31,05,20,2
12,05,20,3
30,05,20,4
01,05,20,5
29,05,20,3
20,05,20,1
28,05,20,3
18,05,20,5
22,05,20,1
11,05,20,1
26,05,20,1
17,05,20,2
07,05,20,3
05,05,20,2
14,05,20,4
08,05,20,1
06,06,20,3
13,06,20,2
18,06,20,3
28,06,20,7
26,06,20,2
02,06,20,2
29,06,20,2
05,06,20,3
19,06,20,3
16,06,20,4
21,06,20,1
01,06,20,8
27,06,20,5
20,06,20,1
07,06,20,2
22,06,20,3
15,06,20,3
24,06,20,7
04,06,20,2
25,06,20,3
03,06,20,4
17,06,20,1
14,06,20,1
10,06,20,1
30,06,20,3
12,06,20,2
23,06,20,2
04,07,20,16
16,07,20,9
27,07,20,12
18,07,20,7
15,07,20,5
29,07,20,5
19,07,20,10
31,07,20,18
26,07,20,5
12,07,20,4
28,07,20,10
01,07,20,8
10,07,20,4
17,07,20,14
25,07,20,8
24,07,20,9
30,07,20,11
14,07,20,7
09,07,20,2
06,07,20,8
22,07,20,9
21,07,20,7
07,07,20,1
23,07,20,9
20,07,20,6
13,07,20,9
11,07,20,3
02,07,20,8
08,07,20,2
03,07,20,1
05,07,20,1
20,08,20,1
16,08,20,245
12,08,20,14
14,08,20,35
01,08,20,2
15,08,20,104
13,08,20,30
06,08,20,7
28,08,20,12
27,08,20,6
10,08,20,10
07,08,20,4
08,08,20,12
03,08,20,1
09,08,20,7
11,08,20,9
05,08,20,5
30,08,20,2
17,08,20,185
04,08,20,2
25,08,20,1
18,08,20,107
28,09,20,5
14,09,20,2
24,09,20,6
08,09,20,3
13,09,20,2
12,09,20,4
03,09,20,150
02,09,20,258
25,09,20,3
26,09,20,12
19,09,20,2
01,09,20,241
20,09,20,3
22,09,20,3
10,09,20,1
30,09,20,6
23,09,20,10
09,09,20,2
17,09,20,2
27,09,20,5
15,09,20,1
21,09,20,3
29,09,20,5
18,09,20,1
11,09,20,1
06,09,20,1
04,09,20,70
16,09,20,3
07,09,20,1
20,10,20,107
21,10,20,223
09,10,20,6
18,10,20,21
17,10,20,18
19,10,20,38
16,10,20,16
12,10,20,3
10,10,20,10
15,10,20,8
14,10,20,8
13,10,20,8
05,10,20,5
11,10,20,6
01,10,20,4
02,10,20,6
03,10,20,5
08,10,20,7
06,10,20,4
07,10,20,3
27,10,20,1
22,10,20,238
23,10,20,159
24,10,20,29
